SMILES,Shifts,Atom#,Solvent
C1(F)(F)OC(C(O1)(F)C(F)(F)F)(F)C(C(F)(F)F)(C(F)(F)F)F,"['-186.6', '-186.4', '-126.4', '-117.9', '-81.4', '-74.7', '-73.7', '-58.6', '-56.2']","[[' -186.6\\'], ['17'], ['9'], ['10'], ['12', '13', '14'], ['21', '22', '23'], ['18', '19', '20'], ['7'], ['6']]",CDCl3
C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC(C(F)(F)Cl)(F)Cl,"['-76.3', '-70.4', '-69.4']","[['16'], ['18', '19'], ['5', '6', '7', '8', '9', '10', '11', '12', '13']]",CDCl3
C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC(=C(F)F)F,"['-131.9', '-120.1', '-71.1']","[['16'], ['18', '19'], ['5', '6', '7', '8', '9', '10', '11', '12', '13']]",CDCl3
C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)C(C(=O)F)(F)F,"['-103.8', '-63.2', '23.9']","[['18', '19'], ['5', '6', '7', '8', '9', '10', '11', '12', '13'], ['16']]",CDCl3
C(OF)([H])([H])[H],['120.3'],[['3']],CDCl3
O(C([H])([H])[H])C(C(F)(F)F)(F)F,"['-92.5', '-86.0']","[['5', '8'], ['6', '7', '9']]",CDCl3
O(C([H])([H])[H])C(C(F)(F)C(F)(F)F)(F)F,"['-129.4', '-89.1', '-81.7']","[['6', '9'], ['5', '8'], ['13', '14', '15']]",CDCl3
O(C([H])([H])[H])C(C(F)(F)F)(C(F)(F)F)F,"['-150.1', '-81.6']","[['6'], ['7', '8', '9', '10', '11', '12']]",CDCl3
C(C(F)(F)OC([H])([H])[H])(F)(F)OC(F)(F)F,"['-92.8', '-89.7', '-55.1']","[['6', '7'], ['4', '9'], ['11', '12', '13']]",CDCl3
C(C(F)(F)OC([H])([H])[H])(F)(F)OC([H])([H])[H],['-93.5'],"[['4', '6', '7', '9']]",CDCl3
C(C(F)(F)OC([H])([H])[H])(F)(F)Cl,"['-90.8', '-71.5']","[['6', '7'], ['4', '8']]",CDCl3
C(C(F)(OC([H])([H])[H])[H])(F)(F)F,"['-145.0', '-83.2']","[['7'], ['2', '4', '8']]",CDCl3
C(C(F)(OC([H])([H])[H])F)(F)([H])[H],"['-235.5', '-86.0']","[['2'], ['6', '7']]",CDCl3
C(C(F)(F)F)([H])([H])OC([H])([H])[H],['-73.3'],"[['5', '6', '7']]",CDCl3
C(C(F)(F)[H])([H])([H])OC([H])([H])[H],['-126.5'],"[['6', '7']]",CDCl3
S(F)(F)(F)(F)(F)F,['47.0'],"[['2', '3', '4', '5', '6', '7']]",CDCl3
C(C(=O)OOC(C(F)(F)F)=O)(F)(F)F,['-78.0'],"[['9', '10', '11', '12', '13', '14']]",CDCl3
[H]OOC(C(F)(F)F)=O,['-78.7'],"[['7', '8', '9']]",CDCl3
C(C(Cl)(OC(F)(F)F)F)(F)(Cl)F,"['-78.2', '-71.9', '-56.1']","[['8'], ['4', '9'], ['10', '11', '12']]",CDCl3
FOC(F)(F)F,"['-72.3', '147.1']","[['4', '5', '6'], ['1']]",CDCl3
FOC(F)(F)F,"['-71.8', '146.78']","[['4', '5', '6'], ['1']]",CFCl3
FOC(F)(F)F,"['-71.1', '149.9']","[['4', '5', '6'], ['1']]",SF6
C(C(F)(F)F)(OF)(F)F,"['-97.9', '-82.1', '139.4']","[['7', '8', '9'], ['5', '6'], ['4']]",CDCl3
C(C(F)(F)F)(OF)(F)F,"['-97.55', '-81.71', '139.04']","[['7', '8', '9'], ['5', '6'], ['4']]",CFCl3
FC(C(C(OF)(F)F)(F)F)(F)F,"['-127.0', '-93.9', '-82.5', '144.3']","[['9', '10'], ['7', '8'], ['1', '11', '12'], ['6']]",CDCl3
C(C(F)(F)F)(C(F)(F)F)(OF)F,"['-137.4', '-75.6', '153.9']","[['5'], ['7', '8', '9', '10', '11', '12'], ['6']]",CDCl3
C(C(C(F)(F)F)(C(F)(F)F)OF)(F)(F)F,"['-69.5', '149.6']","[['6', '7', '8', '9', '10', '11', '12', '13', '14'], ['15']]",CDCl3
C(C(F)(F)[N+]([O-])=O)(F)(F)OF,"['-98.9', '-93.4', '150.6']","[['5', '6'], ['3', '4'], ['8']]",CDCl3
C(C(OF)(F)F)(F)(F)Cl,"['-95.9', '-69.4', '140.2']","[['5', '6'], ['7', '8'], ['4']]",CDCl3
C(=C(F)Cl)(F)Cl,['-105.6'],"[['3', '5']]",CDCl3
C(=C(F)Cl)(F)Cl,['-120.1'],"[['4', '5']]",CDCl3
O(C(F)(F)F)C(=C(F)F)F,"['-141.2', '-126.9', '-119.2', '-64.3']","[['7'], ['6'], ['5'], ['8', '9', '10']]",CDCl3
C(C(C(F)(F)OC(=C(F)F)F)(F)F)(F)(F)F,"['-138.8', '-132.6', '-126.0', '-118.7', '-89.0', '-84.8']","[['16'], ['9', '10'], ['14'], ['15'], ['11', '12'], ['6', '7', '8']]",CDCl3
C(C(C(C(OC(=C(F)F)F)(F)F)(F)F)(F)F)(F)(F)F,"['-139.1', '-128.8', '-125.7', '-118.2', '-87.7', '-84.2']","[['10'], ['13', '14', '15', '16'], ['8'], ['9'], ['11', '12'], ['17', '18', '19']]",CDCl3
FC(OC(=C(F)F)F)(C(F)(F)F)C(F)(F)F,"['-144.5', '-137.9', '-125.4', '-118.4', '-83.4']","[['1'], ['8'], ['6'], ['7'], ['11', '12', '13', '14', '15', '16']]",CDCl3
[H]C(OC(=C(F)F)F)([H])[H],"['-138.3', '-132.0', '-125.4']","[['8'], ['6'], ['7']]",CDCl3
C(C(OC(=C(F)F)F)([H])[H])(F)(F)F,"['-139.7', '-130.1', '-124.3', '-77.1']","[['8'], ['6'], ['7'], ['11', '12', '13']]",CDCl3
FC(SC(=C(F)F)F)(F)F,"['-155.1', '-104.0', '-85.3', '-45.7']","[['8'], ['6'], ['7'], ['1', '9', '10']]",CDCl3
C(C(OC(=C(F)F)F)([H])C([H])([H])[H])([H])([H])[H],"['-133.6', '-125.8']","[['6', '8'], ['7']]",CDCl3
FC(OC(=C(F)F)[H])(F)F,"['-113.8', '-94.6', '-65.0']","[['7'], ['6'], ['1', '9', '10']]",CDCl3
FC(F)(F)OC(=C(F)Cl)Cl,"['-97.3', '-61.2']","[['6'], ['1', '7', '8']]",CDCl3
FC(F)(F)OC(=C(F)Cl)Cl,"['-90.6', '-61.8']","[['10'], ['1', '7', '8']]",CDCl3
FC(F)(F)OC(=C(F)Cl)[H],"['-93.6', '-63.0']","[['10'], ['1', '7', '8']]",CDCl3
FC(F)(F)OC(=C(Cl)F)[H],"['-114.8', '-64.5']","[['6'], ['1', '7', '8']]",CDCl3
FC(F)(F)OC(=C(F)[H])Cl,"['-146.2', '-62.8']","[['10'], ['1', '7', '8']]",CDCl3
C(OC(=C(OC(F)(F)F)F)F)(F)(F)F,"['-108.0', '-63.1']","[['7', '8'], ['9', '10', '11', '12', '13', '14']]",CDCl3
N(C(F)(F)F)(C(F)(F)F)[H],['-56.5'],"[['4', '5', '6', '7', '8', '9']]",CDCl3
N(C(F)(F)F)(C(F)(F)F)C(=O)F,"['-55.8', '5.62']","[['5', '6', '7', '8', '9', '10'], ['12']]",CDCl3
N(C(F)(F)F)(C(F)(F)F)C(F)(F)OF,"['-72.4', '-54.8', '168.0']","[['12', '13'], ['5', '6', '7', '8', '9', '10'], ['14']]",CDCl3
N(C(F)(F)F)(C(F)(F)F)C(F)(F)OC(C(F)(F)Cl)(F)Cl,"['-78.3', '-71.1', '-57.6', '-55.1']","[['12', '13'], ['16'], ['18', '19'], ['5', '6', '7', '8', '9', '10']]",CDCl3
C1(C(F)(F)OS1(=O)=O)(C(F)(F)F)F,"['-88.2', '-82.3', '-73.69', '-51.8']","[['7'], ['6'], ['9', '10', '11'], ['8']]",CDCl3
C(C(F)(F)F)(C(=O)OS(=O)(=O)F)(F)[H],"['-203.8', '-75.13', '47.49']","[['5'], ['3', '4', '9'], ['14']]",CDCl3
[H]OS(=O)(=O)F,['41.74'],[['6']],CDCl3
C1(C(F)(F)OS1(=O)=O)(C(F)(F)F)[H],"['-83.65', '-70.8', '-65.31']","[['7'], ['6'], ['9', '10', '11']]",CDCl3
FS(C(C(=O)F)(C(F)(F)F)[H])(=O)=O,"['-67.7', '49.74', '63.73']","[['10', '11', '12'], ['5'], ['1']]",CDCl3
C(C(C(F)(F)OS(=O)(F)=O)([H])[H])(F)(F)F,"['-66.27', '-63.19', '48.1']","[['12', '13'], ['7', '8', '9'], ['14']]",CDCl3
[H]C(C(C(C(C1(C(F)(F)OS1(=O)=O)F)(F)F)(F)F)(F)F)(F)F,"['-151.5', '-137.3', '-129.7', '-129.2', '-121.6', '-121.1', '-118.1', '-116.8', '-85.88', '-82.55']","[['17'], ['9', '10'], ['12'], ['11'], ['13'], ['14'], ['16'], ['15'], ['18'], ['8']]",CDCl3
C(C(C(F)(F)OC1(C(F)(F)OS1(=O)=O)F)(F)F)(F)(F)F,"['-129.41', '-98.92', '-97.52', '-88.15', '-84.44', '-81.95', '-81.4']","[['11', '12'], ['7'], ['16'], ['15'], ['13'], ['14'], ['8', '9', '10']]",CDCl3
FC(C(C(F)(F)OC(OC(F)(F)S(=O)(=O)F)=O)(F)F)(F)F,"['-129.62', '-104.29', '-86.64', '-81.4', '43.12']","[['12', '13'], ['17', '18'], ['14', '15'], ['1', '10', '11'], ['21']]",CDCl3
FC(C(=O)OC(C(C(F)(F)F)(F)F)(F)F)=O,"['-130.03', '-89.06', '-81.77', '20.68']","[['13', '14'], ['11', '12'], ['8', '15', '16'], ['1']]",CDCl3
FS(=O)(=O)OC(C(=O)OC(C(C(F)(F)F)(F)F)(F)F)(F)F,"['-130.08', '-87.9', '-81.84', '-78.18', '49.48']","[['17', '18'], ['15', '16'], ['19', '20', '21'], ['12', '13'], ['1']]",CDCl3
FC(C(C(F)(F)OC(=O)C(F)(F)S(=O)(=O)OC(C(=O)OC(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,"['-130.18', '-130.11', '-104.72', '-88.01', '-87.6', '-81.92', '-81.88', '-74.65']","[['13', '14'], ['32', '33'], ['18', '19'], ['15', '16'], ['30', '31'], ['1', '11', '12'], ['34', '35', '36'], ['27', '28']]",CDCl3
FC(C(C(F)(F)OC(C(S(=O)(O[H])=O)(F)F)=O)(F)F)(F)F,"['-129.38', '-106.98', '-86.89', '-81.3']","[['12', '13'], ['19', '20'], ['14', '15'], ['1', '10', '11']]",CDCl3
FS(OC(C(=O)OC([H])([H])[H])(F)F)(=O)=O,"['-77.72', '48.55']","[['9', '10'], ['1']]",CDCl3
FS(C(C(=O)F)(F)F)(=O)=O,"['-104.98', '24.07', '42.82']","[['8', '9'], ['5'], ['1']]",CDCl3
FS(=O)(=O)OC(C(F)=O)(F)F,"['-77.57', '15.14', '49.94']","[['9', '10'], ['11'], ['1']]",CDCl3
FC(C(F)(F)S(=O)(=O)OC(C(F)=O)(F)F)=O,"['-104.61', '-73.8', '15.14', '25.07']","[['10', '11'], ['14', '15'], ['16'], ['1']]",CDCl3
O=S(=O)(OC(C(=O)OC([H])([H])[H])(F)F)OC(F)(F)C(=O)OC([H])([H])[H],['-77.63'],"[['10', '11', '13', '14']]",CDCl3
C(OC(C(F)(F)S(=O)(=O)OC(C(=O)OC([H])([H])[H])(F)F)=O)([H])([H])[H],"['-104.39', '-74.27']","[['8', '9'], ['14', '15']]",CDCl3
N(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,"['-128.616', '-119.963', '-85.464', '-83.464']","[['18', '19', '27', '28', '36', '37'], ['16', '17', '25', '26', '34', '35'], ['14', '15', '23', '24', '32', '33'], ['20', '21', '22', '29', '30', '31', '38', '39', '40']]",CDCl3
C(C(C(C(C(C(C(C(F)(F)S(=O)(=O)N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,"['-130.95', '-127.4', '-126.58', '-126.41', '-126.31', '-125.08', '-117.84', '-86.02']","[['12', '13'], ['14', '15'], ['16', '17'], ['18', '19'], ['20', '21'], ['22', '23'], ['24', '25'], ['9', '10', '11']]",CDCl3
C(C(C(C(C(C(F)(F)S(=O)(=O)N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])(F)F)(F)F)(C(F)(F)F)C(F)(F)F)(F)F)(F)(F)F,"['-119.98', '-117.12', '-110.3', '-105.48', '-83.01', '-64.06']","[['15', '16'], ['17', '18'], ['9', '10'], ['13', '14'], ['7', '8', '36'], ['30', '31', '32', '33', '34', '35']]",CDCl3
C(C(C(C(C(C(C(F)(F)S(=O)(=O)N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)(F)F,"['-190.74', '-125.9', '-125.26', '-125.03', '-119.54', '-117.85', '-76.9']","[['15'], ['20', '21'], ['18', '19'], ['22', '23'], ['16', '17'], ['24', '25'], ['9', '10', '11', '12', '13', '14']]",CDCl3
C(C(C(C(C(C(F)(F)S(=O)(=O)N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])(F)F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F)(F)(F)F,"['-124.23', '-121.45', '-117.61', '-108.62', '-66.52']","[['11', '12'], ['13', '14'], ['9', '10'], ['15', '16'], ['17', '18', '19', '20', '21', '22', '23', '24', '25']]",CDCl3
C(C(C(C(C(F)(S(=O)(=O)N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])C(F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)C(F)(F)F)(F)F,"['-172.2', '-131.0', '-130.88', '-127.41', '-127.27', '-126.25', '-126.05', '-124.43', '-117.81', '-117.51', '-86.03', '-75.24']","[['7'], ['15'], ['14'], ['27'], ['28'], ['12'], ['13'], ['10', '11'], ['8'], ['9'], ['30', '31', '32'], ['34', '35', '36']]",CDCl3
C(C(C(C(C(F)(S(=O)(=O)N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])F)(F)C(F)(F)F)(F)F)(F)F)(C(F)(F)C(F)(F)F)(F)F,"['-186.8', '-130.83', '-130.73', '-127.06', '-126.98', '-124.3', '-117.05', '-116.15', '-108.01', '-107.47', '-85.98', '-74.74']","[['8'], ['14'], ['15'], ['27'], ['28'], ['12', '13'], ['10'], ['11'], ['7'], ['33'], ['30', '31', '32'], ['34', '35', '36']]",CDCl3
C(C(C(C(C(C(C(F)(F)S(N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])(=O)=O)(F)F)(F)C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,"['-189.68', '-130.62', '-125.18', '-116.83', '-116.39', '-115.1', '-114.85', '-85.86', '-75.12']","[['17'], ['11', '12'], ['13', '14'], ['15', '24', '25'], ['16'], ['18'], ['19'], ['8', '9', '10'], ['21', '22', '23']]",CDCl3
C(C(C(C(C(C(S(=O)(=O)N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])(F)F)(F)F)(F)C(F)(F)F)(F)F)(F)C(F)(F)F)(F)(F)F,"['-187.56', '-187.18', '-116.47', '-115.91', '-115.52', '-113.95', '-109.43', '-108.85', '-77.17', '-75.15']","[['12'], ['15'], ['9'], ['8'], ['10'], ['11'], ['13'], ['14'], ['16', '17', '18', '21', '22', '23'], ['24', '25', '26']]",CDCl3
C(C(C(C(C(C(S(=O)(=O)N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])(F)F)(F)F)(F)F)(F)C(F)(F)F)(F)C(F)(F)F)(F)(F)F,"['-184.86', '-179.81', '-123.21', '-122.27', '-118.09', '-116.97', '-115.41', '-111.27', '-75.0', '-74.09']","[['15'], ['14'], ['10'], ['11'], ['9'], ['8'], ['12'], ['19'], ['34', '35', '36'], ['16', '17', '18', '21', '22', '23']]",CDCl3
FC(C(C(C(C(S(=O)(=O)N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])(F)F)(F)F)(F)F)(F)C(F)(F)F)(F)C(F)(F)C(F)(F)F,"['-190.03', '-128.87', '-123.01', '-117.62', '-117.37', '-116.53', '-116.3', '-85.79', '-75.12']","[['14'], ['18', '19'], ['10', '11'], ['1', '8', '9'], ['15'], ['12'], ['16'], ['34', '35', '36'], ['30', '31', '32']]",CDCl3
C(C(C(C(C(S(=O)(=O)N(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])[H])(F)F)(F)F)(F)F)(F)F)(F)(C(F)(F)C(F)(F)F)C(F)(F)F,"['-189.81', '-124.84', '-124.71', '-124.41', '-124.24', '-121.11', '-120.88', '-117.79', '-117.68', '-117.3', '-85.17', '-75.55']","[['14'], ['9'], ['10'], ['15'], ['11'], ['17'], ['18'], ['7'], ['8'], ['12', '13'], ['30', '31', '32'], ['34', '35', '36']]",CDCl3
C(=C(C(F)(F)OS(=O)(=O)F)F)(F)F,"['-190.5', '-102.0', '-88.0', '-71.0', '50.0']","[['5'], ['2'], ['3'], ['7', '8'], ['13']]",CDCl3
FC(=C(C(F)(F)OC([H])([H])[H])F)F,"['-189.0', '-102.0', '-92.0', '-73.5']","[['8'], ['1'], ['7'], ['9', '10']]",CDCl3
C(=C(C(F)(F)OC(C(F)(F)F)([H])[H])F)(F)F,"['-189.5', '-104.5', '-92.5', '-73.2', '-73.0']","[['9'], ['7'], ['8'], ['12', '13', '14'], ['10', '11']]",CDCl3
C(=C(C(F)(F)OC1=C(C(=C(C(=C1F)F)F)F)F)F)(F)F,"['-188.9', '-160.6', '-154.6', '-150.7', '-102.0', '-88.5', '-70.2']","[['7'], ['17', '19'], ['18'], ['16', '20'], ['5'], ['6'], ['8', '9']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])Cl)[H])[H])C(F)(F)F)C3=C(C(=C(C(=C3[H])[H])Cl)[H])[H])C(F)(F)F)C4=C(C(=C(C(=C4[H])[H])Cl)[H])[H])C(F)(F)F,['-46.76'],"[['13', '14', '15', '16', '17', '18', '19', '20', '21']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C(F)(F)F)C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C(F)(F)F)C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])C(F)(F)F,['-46.85'],"[['13', '14', '15', '16', '17', '18', '19', '20', '21']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])OC([H])([H])[H])[H])[H])C(F)(F)F)C3=C(C(=C(C(=C3[H])[H])OC([H])([H])[H])[H])[H])C(F)(F)F)C4=C(C(=C(C(=C4[H])[H])OC([H])([H])[H])[H])[H])C(F)(F)F,['-47.05'],"[['13', '14', '15', '16', '17', '18', '19', '20', '21']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])C(=O)OC(C([H])([H])[H])([H])[H])[H])[H])C(F)(F)F)C3=C(C(=C(C(=C3[H])[H])C(=O)OC(C([H])([H])[H])([H])[H])[H])[H])C(F)(F)F)C4=C(C(=C(C(=C4[H])[H])C(=O)OC(C([H])([H])[H])([H])[H])[H])[H])C(F)(F)F,['-46.7'],"[['13', '14', '15', '16', '17', '18', '19', '20', '21']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2Cl)[H])[H])[H])[H])C(F)(F)F)C3=C(C(=C(C(=C3Cl)[H])[H])[H])[H])C(F)(F)F)C4=C(C(=C(C(=C4Cl)[H])[H])[H])[H])C(F)(F)F,['-51.29'],"[['13', '14', '15', '16', '17', '18', '19', '20', '21']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])Cl)[H])[H])[H])C(F)(F)F)C3=C(C(=C(C(=C3[H])Cl)[H])[H])[H])C(F)(F)F)C4=C(C(=C(C(=C4[H])Cl)[H])[H])[H])C(F)(F)F,['-46.8'],"[['13', '14', '15', '16', '17', '18', '19', '20', '21']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C4=C(C(=C(C(=C4[H])[H])Cl)[H])[H])C(F)(F)F)C5=C(C(=C(C(=C5[H])[H])[H])[H])[H])C6=C(C(=C(C(=C6[H])[H])[H])[H])[H],['-47.96'],"[['11', '12', '13']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])C(F)(F)F)C5=C(C(=C(C(=C5[H])[H])[H])[H])[H])C6=C(C(=C(C(=C6[H])[H])[H])[H])[H],['-48.05'],"[['11', '12', '13']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])C(F)(F)F)C5=C(C(=C(C(=C5[H])[H])[H])[H])[H])C(F)(F)F,['-47.6'],"[['11', '12', '13', '36', '37', '38']]",CDCl3
C1(=C(C(=C(C(=C1C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C(F)(F)F)C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])C5=C(C(=C(C(=C5[H])[H])[H])[H])[H],['-50.36'],"[['11', '12', '13', '30', '31', '32']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])C(F)(F)F)C(F)(F)F)C5=C(C(=C(C(=C5[H])[H])[H])[H])[H],['-49.0'],"[['11', '12', '13', '30', '31', '32']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])C5=C(C(=C(C(=C5[H])[H])OC([H])([H])[H])[H])[H])C(F)(F)F)C6=C(C(=C(C(=C6[H])[H])[H])[H])[H],['-48.04'],"[['26', '27', '28']]",CDCl3
C1(=C(C(=C(C(=C1C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])OC([H])([H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])OC([H])([H])[H])[H])[H])C(F)(F)F)C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])C5=C(C(=C(C(=C5[H])[H])[H])[H])[H],['-50.5'],"[['11', '12', '13', '30', '31', '32']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C4=C(C(=C(C(=C4[H])[H])OC([H])([H])[H])[H])[H])C(F)(F)F)C(F)(F)F)C5=C(C(=C(C(=C5[H])[H])OC([H])([H])[H])[H])[H],['-49.05'],"[['11', '12', '13', '30', '31', '32']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(F)(F)F)C5=C(C(=C(C(=C5[H])[H])[H])[H])[H],['-49.77'],"[['26', '27', '28']]",CDCl3
C1(=C(C(=C(C(=C1C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(F)(F)F)C(F)(F)F,['-50.44'],"[['20', '21', '22', '34', '35', '36']]",CDCl3
C1(=C(C(=C(C(=C1C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C(F)(F)F)C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(F)(F)F)C3=C(C(=C(C(=C3[H])[H])[H])[H])[H],['-52.49'],"[['14', '15', '16', '34', '35', '36']]",CDCl3
C1(=C(C(=C(C(=C1C(F)(F)F)P(OC(C([H])([H])[H])([H])[H])(OC(C([H])([H])[H])([H])[H])=O)C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])C5=C(C(=C(C(=C5[H])[H])[H])[H])[H],['-49.09'],"[['33', '34', '35']]",CDCl3
C1(=C(C(=C(C(=C1C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])Cl)[H])[H])C(OC([H])([H])[H])=O)C(OC([H])([H])[H])=O)C(OC([H])([H])[H])=O)C(OC([H])([H])[H])=O,['-53.88'],"[['15', '16', '17']]",CDCl3
C1(=C(C(=C(C(=C1C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])Cl)[H])[H])C3=C(C(=C(C(=C3[H])[H])Cl)[H])[H])C(F)(F)F)C(OC([H])([H])[H])=O)C(OC([H])([H])[H])=O,['-53.88'],"[['15', '16', '17', '34', '35', '36']]",CDCl3
C1(=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])Cl)[H])[H])C(=O)OC([H])([H])[H])C(OC([H])([H])[H])=O)C3=C(C(=C(C(=C3[H])[H])Cl)[H])[H],['-50.84'],"[['9', '10', '11', '23', '24', '25']]",CDCl3
C1(=C(C(=C(C(=C1C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])Cl)[H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H],['-49.41'],"[['8', '9', '10']]",CDCl3
C1(=C(C(=C(C(=C1C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])Cl)[H])[H])C3=C(C(=C(C(=C3[H])[H])Cl)[H])[H])C(F)(F)F)C(C(C([H])([H])[H])([H])[H])([H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H],['-50.56'],"[['8', '9', '10', '18', '26', '27']]",CDCl3
C1(=C(C(=C(C(=C1C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])Cl)[H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H])C3=C(C(=C(C(=C3[H])[H])Cl)[H])[H])C(F)(F)F,['-50.44'],"[['8', '9', '10', '15', '26', '27']]",CDCl3
C(C#CC(OC#C[H])(C([H])([H])[H])C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])(F)(F)F,['-50.82'],"[['6', '7', '8']]",CDCl3
